date,soil_moisture_percent,air_temperature_celsius
2018/7/3 14:49,14.01,31.47
2018/7/3 15:04,13.88,31.73
2018/7/3 15:19,13.74,32.18
2018/7/3 15:34,13.61,31.96
2018/7/3 15:49,13.48,31.2
2018/7/3 16:04,13.48,30.98
2018/7/3 16:19,13.61,30.67
2018/7/3 16:34,13.48,30.19
2018/7/3 16:49,13.22,29.35
2018/7/3 17:04,13.09,28.69
2018/7/3 17:19,12.83,28.07
2018/7/3 17:34,12.83,27
2018/7/3 17:49,13.21,25.2
2018/7/3 18:04,13.08,24.61
2018/7/3 18:19,12.95,23.97
2018/7/3 18:34,12.95,23.6
2018/7/3 18:49,13.33,23.37
2018/7/3 19:04,13.07,22.91
2018/7/3 19:19,13.07,22.68
2018/7/3 19:34,12.81,22.3
2018/7/3 19:49,13.07,21.97
2018/7/3 20:04,13.07,21.74
2018/7/3 20:19,12.94,21.64
2018/7/3 20:34,12.94,21.45
2018/7/3 20:49,12.68,21.31
2018/7/3 21:04,12.94,21.22
2018/7/3 21:19,12.94,21.31
2018/7/3 21:34,12.68,21.12
2018/7/3 21:49,12.94,21.03
2018/7/3 22:04,12.68,20.98
2018/7/3 22:19,12.93,20.93
2018/7/3 22:34,13.19,20.88
2018/7/3 22:49,12.93,20.74
2018/7/3 23:04,13.06,20.69
2018/7/3 23:19,12.67,20.64
2018/7/3 23:34,12.42,20.74
2018/7/3 23:49,12.67,21.03
2018/7/4 00:04,13.06,20.83
2018/7/4 00:19,13.06,20.64
2018/7/4 00:34,12.8,20.98
2018/7/4 00:49,12.8,21.12
2018/7/4 01:04,13.06,21.17
2018/7/4 01:19,12.8,20.93
2018/7/4 01:34,12.54,20.64
2018/7/4 01:49,13.06,20.55
2018/7/4 02:04,12.54,20.45
2018/7/4 02:19,13.06,20.3
2018/7/4 02:34,12.54,20.21
2018/7/4 02:49,12.8,20.11
2018/7/4 03:04,12.8,20.06
2018/7/4 03:19,12.54,19.92
2018/7/4 03:34,12.67,19.92
2018/7/4 03:49,12.54,19.92
2018/7/4 04:04,12.54,19.82
2018/7/4 04:19,12.93,19.72
2018/7/4 04:34,12.28,19.72
2018/7/4 04:49,12.92,19.57
2018/7/4 05:04,12.67,19.57
2018/7/4 05:19,12.28,19.48
2018/7/4 05:34,12.79,19.48
2018/7/4 05:49,12.41,19.53
2018/7/4 06:04,12.54,19.82
2018/7/4 06:19,12.41,19.96
2018/7/4 06:34,12.66,20.26
2018/7/4 06:49,12.79,20.55
2018/7/4 07:04,12.54,20.88
2018/7/4 07:19,12.28,21.45
2018/7/4 07:34,12.54,22.26
2018/7/4 07:49,12.28,22.21
2018/7/4 08:04,12.02,23.05
2018/7/4 08:19,12.02,24.25
2018/7/4 08:34,11.76,23.51
2018/7/4 08:49,12.28,23.7
2018/7/4 09:04,11.89,24.43
2018/7/4 09:19,12.15,26.82
2018/7/4 09:34,12.15,25.79
2018/7/4 09:49,12.15,25.7
2018/7/4 10:04,11.89,28.55
2018/7/4 10:19,11.63,33.96
2018/7/4 10:34,11.63,38.22
2018/7/4 10:49,11.75,42.67
2018/7/4 11:04,11.1,42.97
2018/7/4 11:19,11.22,49.82
2018/7/4 11:34,10.96,49.18
2018/7/4 11:49,11.35,46.52
2018/7/4 12:04,30.06,32.89
2018/7/4 12:19,28.04,35.95
2018/7/4 12:34,26.51,36.96
2018/7/4 12:49,25.39,34.32
2018/7/4 13:04,24.88,32.84
2018/7/4 13:19,24.49,29.83
2018/7/4 13:34,23.87,31.56
2018/7/4 13:49,23.37,32.13
2018/7/4 14:04,23.12,32.22
2018/7/4 14:19,22.74,32.67
2018/7/4 14:34,22.49,32.62
2018/7/4 14:49,22,31.65
2018/7/4 15:04,21.5,30.94
2018/7/4 15:19,21.62,30.41
2018/7/4 15:34,21.24,27.71
2018/7/4 15:49,20.74,28.29
2018/7/4 16:04,20.49,28.73
2018/7/4 16:19,20.36,30.23
2018/7/4 16:34,20.11,30.76
2018/7/4 16:49,19.61,29.88
2018/7/4 17:04,19.24,29.35
2018/7/4 17:19,19.36,28.51
2018/7/4 17:34,19.1,27.27
2018/7/4 17:49,18.85,25.65
2018/7/4 18:04,18.97,24.79
2018/7/4 18:19,18.84,24.38
2018/7/4 18:34,18.59,24.25
2018/7/4 18:49,18.34,24.29
2018/7/4 19:04,18.08,23.93
2018/7/4 19:19,18.33,23.42
2018/7/4 19:34,18.45,23.05
2018/7/4 19:49,17.82,22.77
2018/7/4 20:04,18.2,22.49
2018/7/4 20:19,17.95,22.44
2018/7/4 20:34,18.07,22.26
2018/7/4 20:49,17.82,22.02
